xgboost_weight,catboost_weight,roc_auc,auprc
0.05,0.95,0.8992257742257742,0.9561006354890507
0.1,0.9,0.9032217782217782,0.9585290056189449
0.15,0.85,0.9068431568431569,0.9607452603318413
0.2,0.8,0.9097152847152847,0.9621601789194119
0.25,0.75,0.9127122877122876,0.9632356427655129
0.3,0.7,0.9133366633366632,0.9635646612505409
0.35,0.65,0.9153346653346653,0.9645091764449302
0.4,0.6,0.9158341658341659,0.9647126348656453
0.45,0.55,0.9179570429570431,0.9655580127933262
0.5,0.5,0.9194555444555443,0.966370375907719
0.55,0.45,0.9204545454545455,0.966694722143218
0.6,0.4,0.9218281718281719,0.9673638371187065
0.65,0.35,0.9234515484515485,0.9680437377517884
0.7,0.3,0.9242007992007992,0.9683562678709414
0.75,0.25,0.923951048951049,0.9681115613351667
0.8,0.2,0.9248251748251748,0.9685591775139373
0.85,0.15,0.9264485514485514,0.9691644243288431
0.9,0.1,0.9265734265734266,0.9693155433195138
0.95,0.05,0.9274475524475524,0.9697287618268662
